country,2018_life_ladder,2018_log_gdp,2018_social_support,2018_life_expectancy,2018_freedom_to_make_life_choices,2018_generosity,2018_perceived_corruption,2018_positive_affect,2018_negative_affect,2020_life_ladder,2020_log_gdp,2020_social_support,2020_life_expectancy,2020_freedom_to_make_life_choices,2020_generosity,2020_perceived_corruption,2020_positive_affect,2020_negative_affect,2022_life_ladder,2022_log_gdp,2022_social_support,2022_life_expectancy,2022_freedom_to_make_life_choices,2022_generosity,2022_perceived_corruption,2022_positive_affect,2022_negative_affect
Switzerland,7.509,11.164,0.93,72.3,0.926,0.094,0.301,0.756,0.192,7.508,11.137,0.946,72.7,0.917,-0.072,0.28,0.73,0.193,6.884,11.184,0.881,73.1,0.848,0.128,0.235,0.71,0.18
Taiwan Province of China,6.467,10.781,0.896,,0.741,-0.177,0.736,0.746,0.093,6.751,,0.901,,0.799,,0.711,0.743,0.083,6.607,,0.883,,0.8,,0.658,0.717,0.095
Tanzania,3.445,7.828,0.675,58.05,0.807,0.154,0.612,0.702,0.221,3.786,7.844,0.74,58.95,0.83,0.296,0.521,0.667,0.271,3.616,7.872,0.6,59.85,0.856,0.136,0.584,0.707,0.195
Thailand,6.012,9.78,0.873,68.225,0.905,0.257,0.907,0.783,0.198,5.885,9.732,0.867,68.375,0.84,0.272,0.918,0.77,0.326,6.007,9.777,0.867,68.525,0.881,0.301,0.868,0.773,0.218
Tunisia,4.741,9.31,0.733,66.85,0.65,-0.196,0.84,0.536,0.365,4.731,9.215,0.719,66.95,0.668,-0.204,0.877,0.519,0.439,4.261,9.266,0.755,67.05,0.474,-0.231,0.908,0.458,0.304
Ukraine,4.662,9.42,0.901,64.175,0.663,-0.078,0.943,0.55,0.222,5.27,9.426,0.885,64.425,0.784,0.123,0.946,0.629,0.285,4.637,9.049,0.863,64.675,0.829,0.428,0.852,0.527,0.39
United Arab Emirates,6.604,11.178,0.851,65.85,0.944,0.045,,0.723,0.302,6.458,11.122,0.827,66.15,0.942,0.05,,0.702,0.298,6.738,11.202,0.798,66.45,0.932,0.171,,0.715,0.242
United Kingdom,7.233,10.755,0.928,70,0.838,0.221,0.404,0.736,0.228,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225,6.722,10.754,0.863,70.4,0.857,0.309,0.426,0.723,0.27
United States,6.883,11.024,0.904,66.225,0.825,0.112,0.71,0.757,0.292,7.028,11.005,0.937,65.975,0.85,0.029,0.678,0.722,0.295,6.693,11.079,0.9,65.725,0.736,0.191,0.701,0.712,0.267
Uruguay,6.372,10.051,0.917,67.5,0.876,-0.106,0.683,0.775,0.275,6.31,9.991,0.921,67.5,0.908,-0.091,0.491,0.721,0.265,6.671,10.084,0.905,67.5,0.878,-0.052,0.631,0.775,0.267
Uzbekistan,6.205,8.865,0.921,64.4,0.97,0.312,0.52,0.746,0.209,5.842,8.902,0.85,65,0.928,0.193,0.642,0.678,0.279,6.016,8.99,0.879,65.6,0.959,0.309,0.616,0.741,0.225
Venezuela,5.006,5.935,0.887,64.575,0.611,0.072,0.828,0.723,0.374,4.574,,0.805,64.225,0.612,,0.811,0.689,0.396,5.949,,0.899,63.875,0.77,,0.798,0.754,0.292
Vietnam,5.296,9.173,0.832,65.2,0.909,-0.061,0.808,0.614,0.191,5.462,9.254,0.765,65.4,0.945,0.066,0.791,0.699,0.286,6.267,9.333,0.879,65.6,0.975,-0.179,0.703,0.774,0.108
Zimbabwe,3.616,7.783,0.775,52.625,0.763,-0.051,0.844,0.658,0.212,3.16,7.596,0.717,53.575,0.643,0.006,0.789,0.661,0.346,3.296,7.67,0.666,54.525,0.652,-0.07,0.753,0.641,0.191
